Word;Strength;Weakness;Opportunity;Threat;Min;Max;Cat1;Cat2;Val1;Val2;Decision;Execution
Loss;24;76;56;44;0;100;W;O;76;56;W;No
Loss;25;75;73;27;0;100;W;O;75;73;W;No
Loss;79;21;89;11;0;100;S;O;79;89;O;Yes
Loss;31;69;64;36;0;100;W;O;69;64;W;No
Loss;55;45;26;74;0;100;S;T;55;74;T;No
Loss;11;89;71;29;0;100;W;O;89;71;W;No
Loss;69;31;62;38;0;100;S;O;69;62;S;Yes
Loss;19;81;18;82;0;100;W;T;81;82;T;No
Loss;88;12;42;58;0;100;S;T;88;58;S;Yes
Loss;66;34;11;89;0;100;S;T;66;89;T;No
Loss;75;25;59;41;0;100;S;O;75;59;S;Yes
Loss;47;53;38;62;0;100;W;T;53;62;T;No
Loss;95;5;30;70;0;100;S;T;95;70;S;Yes
Loss;4;96;10;90;0;100;W;T;96;90;W;No
Loss;30;70;27;73;0;100;W;T;70;73;T;No
Loss;21;79;11;89;0;100;W;T;79;89;T;No
Loss;62;38;95;5;0;100;S;O;62;95;O;Yes
Loss;57;43;48;52;0;100;S;T;57;52;S;Yes
Loss;92;8;93;7;0;100;S;O;92;93;O;Yes
Loss;61;39;48;52;0;100;S;T;61;52;S;Yes
Marketing;93;7;16;84;0;100;S;T;93;84;S;Yes
Marketing;4;96;13;87;0;100;W;T;96;87;W;No
Marketing;29;71;99;1;0;100;W;O;71;99;O;Yes
Marketing;53;47;98;2;0;100;S;O;53;98;O;Yes
Marketing;93;7;43;57;0;100;S;T;93;57;S;Yes
Marketing;27;73;56;44;0;100;W;O;73;56;W;No
Marketing;8;92;39;61;0;100;W;T;92;61;W;No
Marketing;1;99;38;62;0;100;W;T;99;62;W;No
Marketing;96;4;17;83;0;100;S;T;96;83;S;Yes
Marketing;71;29;22;78;0;100;S;T;71;78;T;No
Marketing;61;39;54;46;0;100;S;O;61;54;S;Yes
Marketing;26;74;39;61;0;100;W;T;74;61;W;No
Marketing;39;61;95;5;0;100;W;O;61;95;O;Yes
Marketing;87;13;52;48;0;100;S;O;87;52;S;Yes
Marketing;58;42;72;28;0;100;S;O;58;72;O;Yes
Marketing;30;70;5;95;0;100;W;T;70;95;T;No
Marketing;18;82;93;7;0;100;W;O;82;93;O;Yes
Marketing;72;28;86;14;0;100;S;O;72;86;O;Yes
Marketing;95;5;36;64;0;100;S;T;95;64;S;Yes
Marketing;5;95;89;11;0;100;W;O;95;89;W;No
Investment;50;50;82;18;0;100;W;O;50;82;O;Yes
Investment;88;12;2;98;0;100;S;T;88;98;T;No
Investment;97;3;55;45;0;100;S;O;97;55;S;Yes
Investment;0;100;75;25;0;100;W;O;100;75;W;No
Investment;97;3;18;82;0;100;S;T;97;82;S;Yes
Investment;1;99;5;95;0;100;W;T;99;95;W;No
Investment;39;61;4;96;0;100;W;T;61;96;T;No
Investment;19;81;75;25;0;100;W;O;81;75;W;No
Investment;35;65;4;96;0;100;W;T;65;96;T;No
Investment;48;52;70;30;0;100;W;O;52;70;O;Yes
Investment;35;65;93;7;0;100;W;O;65;93;O;Yes
Investment;55;45;33;67;0;100;S;T;55;67;T;No
Investment;12;88;47;53;0;100;W;T;88;53;W;No
Investment;100;0;60;40;0;100;S;O;100;60;S;Yes
Investment;71;29;8;92;0;100;S;T;71;92;T;No
Investment;72;28;3;97;0;100;S;T;72;97;T;No
Investment;66;34;23;77;0;100;S;T;66;77;T;No
Investment;65;35;98;2;0;100;S;O;65;98;O;Yes
Investment;24;76;13;87;0;100;W;T;76;87;T;No
Investment;16;84;96;4;0;100;W;O;84;96;O;Yes
Budget;23;77;10;90;0;100;W;T;77;90;T;No
Budget;46;54;98;2;0;100;W;O;54;98;O;Yes
Budget;2;98;67;33;0;100;W;O;98;67;W;No
Budget;25;75;55;45;0;100;W;O;75;55;W;No
Budget;11;89;7;93;0;100;W;T;89;93;T;No
Budget;49;51;19;81;0;100;W;T;51;81;T;No
Budget;36;64;92;8;0;100;W;O;64;92;O;Yes
Budget;65;35;8;92;0;100;S;T;65;92;T;No
Budget;9;91;60;40;0;100;W;O;91;60;W;No
Budget;54;46;84;16;0;100;S;O;54;84;O;Yes
Budget;12;88;16;84;0;100;W;T;88;84;W;No
Budget;27;73;31;69;0;100;W;T;73;69;W;No
Budget;39;61;63;37;0;100;W;O;61;63;O;Yes
Budget;4;96;74;26;0;100;W;O;96;74;W;No
Budget;55;45;88;12;0;100;S;O;55;88;O;Yes
Budget;46;54;59;41;0;100;W;O;54;59;O;Yes
Budget;57;43;0;100;0;100;S;T;57;100;T;No
Budget;93;7;2;98;0;100;S;T;93;98;T;No
Budget;27;73;98;2;0;100;W;O;73;98;O;Yes
Budget;48;52;87;13;0;100;W;O;52;87;O;Yes
Growth;19;81;100;0;0;100;W;O;81;100;O;Yes
Growth;68;32;24;76;0;100;S;T;68;76;T;No
Growth;54;46;92;8;0;100;S;O;54;92;O;Yes
Growth;94;6;39;61;0;100;S;T;94;61;S;Yes
Growth;56;44;55;45;0;100;S;O;56;55;S;Yes
Growth;44;56;7;93;0;100;W;T;56;93;T;No
Growth;24;76;49;51;0;100;W;T;76;51;W;No
Growth;100;0;57;43;0;100;S;O;100;57;S;Yes
Growth;98;2;25;75;0;100;S;T;98;75;S;Yes
Growth;32;68;23;77;0;100;W;T;68;77;T;No
Growth;100;0;43;57;0;100;S;T;100;57;S;Yes
Growth;37;63;51;49;0;100;W;O;63;51;W;No
Growth;9;91;22;78;0;100;W;T;91;78;W;No
Growth;42;58;90;10;0;100;W;O;58;90;O;Yes
Growth;30;70;43;57;0;100;W;T;70;57;W;No
Growth;17;83;58;42;0;100;W;O;83;58;W;No
Growth;7;93;73;27;0;100;W;O;93;73;W;No
Growth;26;74;8;92;0;100;W;T;74;92;T;No
Growth;10;90;1;99;0;100;W;T;90;99;T;No
Growth;81;19;66;34;0;100;S;O;81;66;S;Yes
Risk;80;20;60;40;0;100;S;O;80;60;S;Yes
Risk;45;55;94;6;0;100;W;O;55;94;O;Yes
Risk;54;46;97;3;0;100;S;O;54;97;O;Yes
Risk;36;64;42;58;0;100;W;T;64;58;W;No
Risk;22;78;43;57;0;100;W;T;78;57;W;No
Risk;47;53;13;87;0;100;W;T;53;87;T;No
Risk;43;57;37;63;0;100;W;T;57;63;T;No
Risk;88;12;19;81;0;100;S;T;88;81;S;Yes
Risk;82;18;31;69;0;100;S;T;82;69;S;Yes
Risk;23;77;74;26;0;100;W;O;77;74;W;No
Risk;18;82;71;29;0;100;W;O;82;71;W;No
Risk;34;66;34;66;0;100;W;T;66;66;T;No
Risk;78;22;67;33;0;100;S;O;78;67;S;Yes
Risk;34;66;12;88;0;100;W;T;66;88;T;No
Risk;90;10;70;30;0;100;S;O;90;70;S;Yes
Risk;36;64;81;19;0;100;W;O;64;81;O;Yes
Risk;92;8;5;95;0;100;S;T;92;95;T;No
Risk;94;6;53;47;0;100;S;O;94;53;S;Yes
Risk;51;49;66;34;0;100;S;O;51;66;O;Yes
Risk;5;95;92;8;0;100;W;O;95;92;W;No
Advantage;95;5;69;31;0;100;S;O;95;69;S;Yes
Advantage;92;8;26;74;0;100;S;T;92;74;S;Yes
Advantage;100;0;30;70;0;100;S;T;100;70;S;Yes
Advantage;82;18;22;78;0;100;S;T;82;78;S;Yes
Advantage;80;20;44;56;0;100;S;T;80;56;S;Yes
Advantage;52;48;92;8;0;100;S;O;52;92;O;Yes
Advantage;89;11;76;24;0;100;S;O;89;76;S;Yes
Advantage;29;71;19;81;0;100;W;T;71;81;T;No
Advantage;79;21;17;83;0;100;S;T;79;83;T;No
Advantage;97;3;22;78;0;100;S;T;97;78;S;Yes
Advantage;52;48;31;69;0;100;S;T;52;69;T;No
Advantage;66;34;10;90;0;100;S;T;66;90;T;No
Advantage;0;100;71;29;0;100;W;O;100;71;W;No
Advantage;56;44;14;86;0;100;S;T;56;86;T;No
Advantage;60;40;29;71;0;100;S;T;60;71;T;No
Advantage;12;88;60;40;0;100;W;O;88;60;W;No
Advantage;98;2;64;36;0;100;S;O;98;64;S;Yes
Advantage;15;85;26;74;0;100;W;T;85;74;W;No
Advantage;6;94;22;78;0;100;W;T;94;78;W;No
Advantage;1;99;53;47;0;100;W;O;99;53;W;No
Disadvantage;10;90;40;60;0;100;W;T;90;60;W;No
Disadvantage;92;8;82;18;0;100;S;O;92;82;S;Yes
Disadvantage;57;43;64;36;0;100;S;O;57;64;O;Yes
Disadvantage;33;67;83;17;0;100;W;O;67;83;O;Yes
Disadvantage;90;10;80;20;0;100;S;O;90;80;S;Yes
Disadvantage;9;91;4;96;0;100;W;T;91;96;T;No
Disadvantage;32;68;60;40;0;100;W;O;68;60;W;No
Disadvantage;63;37;87;13;0;100;S;O;63;87;O;Yes
Disadvantage;91;9;37;63;0;100;S;T;91;63;S;Yes
Disadvantage;33;67;58;42;0;100;W;O;67;58;W;No
Disadvantage;63;37;90;10;0;100;S;O;63;90;O;Yes
Disadvantage;71;29;3;97;0;100;S;T;71;97;T;No
Disadvantage;46;54;25;75;0;100;W;T;54;75;T;No
Disadvantage;73;27;33;67;0;100;S;T;73;67;S;Yes
Disadvantage;9;91;88;12;0;100;W;O;91;88;W;No
Disadvantage;67;33;71;29;0;100;S;O;67;71;O;Yes
Disadvantage;73;27;38;62;0;100;S;T;73;62;S;Yes
Disadvantage;21;79;40;60;0;100;W;T;79;60;W;No
Disadvantage;41;59;63;37;0;100;W;O;59;63;O;Yes
Disadvantage;90;10;41;59;0;100;S;T;90;59;S;Yes
Deficit;5;95;80;20;0;100;W;O;95;80;W;No
Deficit;6;94;4;96;0;100;W;T;94;96;T;No
Deficit;86;14;55;45;0;100;S;O;86;55;S;Yes
Deficit;7;93;2;98;0;100;W;T;93;98;T;No
Deficit;92;8;19;81;0;100;S;T;92;81;S;Yes
Deficit;57;43;9;91;0;100;S;T;57;91;T;No
Deficit;49;51;74;26;0;100;W;O;51;74;O;Yes
Deficit;55;45;77;23;0;100;S;O;55;77;O;Yes
Deficit;56;44;52;48;0;100;S;O;56;52;S;Yes
Deficit;15;85;81;19;0;100;W;O;85;81;W;No
Deficit;33;67;49;51;0;100;W;T;67;51;W;No
Deficit;89;11;64;36;0;100;S;O;89;64;S;Yes
Deficit;33;67;20;80;0;100;W;T;67;80;T;No
Deficit;93;7;89;11;0;100;S;O;93;89;S;Yes
Deficit;74;26;65;35;0;100;S;O;74;65;S;Yes
Deficit;61;39;37;63;0;100;S;T;61;63;T;No
Deficit;74;26;89;11;0;100;S;O;74;89;O;Yes
Deficit;96;4;24;76;0;100;S;T;96;76;S;Yes
Deficit;52;48;99;1;0;100;S;O;52;99;O;Yes
Deficit;17;83;91;9;0;100;W;O;83;91;O;Yes
Inflation;56;44;24;76;0;100;S;T;56;76;T;No
Inflation;16;84;17;83;0;100;W;T;84;83;W;No
Inflation;65;35;51;49;0;100;S;O;65;51;S;Yes
Inflation;25;75;100;0;0;100;W;O;75;100;O;Yes
Inflation;58;42;38;62;0;100;S;T;58;62;T;No
Inflation;26;74;81;19;0;100;W;O;74;81;O;Yes
Inflation;39;61;13;87;0;100;W;T;61;87;T;No
Inflation;86;14;28;72;0;100;S;T;86;72;S;Yes
Inflation;9;91;25;75;0;100;W;T;91;75;W;No
Inflation;2;98;79;21;0;100;W;O;98;79;W;No
Inflation;35;65;19;81;0;100;W;T;65;81;T;No
Inflation;39;61;39;61;0;100;W;T;61;61;T;No
Inflation;90;10;83;17;0;100;S;O;90;83;S;Yes
Inflation;46;54;37;63;0;100;W;T;54;63;T;No
Inflation;14;86;1;99;0;100;W;T;86;99;T;No
Inflation;88;12;89;11;0;100;S;O;88;89;O;Yes
Inflation;53;47;87;13;0;100;S;O;53;87;O;Yes
Inflation;38;62;11;89;0;100;W;T;62;89;T;No
Inflation;52;48;83;17;0;100;S;O;52;83;O;Yes
Inflation;98;2;32;68;0;100;S;T;98;68;S;Yes
