Word;Strength;Weakness;Opportunity;Threat;Min;Max;Cat1;Cat2;Val1;Val2;Decision;Execution
Loss;81;19;29;71;0;100;S;T;81;71;S;Yes
Loss;100;0;17;83;0;100;S;T;100;83;S;Yes
Loss;42;58;0;100;0;100;W;T;58;100;T;No
Loss;34;66;27;73;0;100;W;T;66;73;T;No
Loss;75;25;90;10;0;100;S;O;75;90;O;Yes
Loss;48;52;27;73;0;100;W;T;52;73;T;No
Loss;20;80;11;89;0;100;W;T;80;89;T;No
Loss;77;23;62;38;0;100;S;O;77;62;S;Yes
Loss;27;73;89;11;0;100;W;O;73;89;O;Yes
Loss;20;80;34;66;0;100;W;T;80;66;W;No
Loss;95;5;88;12;0;100;S;O;95;88;S;Yes
Loss;84;16;36;64;0;100;S;T;84;64;S;Yes
Loss;70;30;17;83;0;100;S;T;70;83;T;No
Loss;23;77;77;23;0;100;W;O;77;77;O;Yes
Loss;33;67;0;100;0;100;W;T;67;100;T;No
Loss;2;98;49;51;0;100;W;T;98;51;W;No
Loss;90;10;40;60;0;100;S;T;90;60;S;Yes
Loss;14;86;37;63;0;100;W;T;86;63;W;No
Loss;74;26;84;16;0;100;S;O;74;84;O;Yes
Loss;23;77;77;23;0;100;W;O;77;77;O;Yes
Marketing;94;6;29;71;0;100;S;T;94;71;S;Yes
Marketing;59;41;54;46;0;100;S;O;59;54;S;Yes
Marketing;89;11;41;59;0;100;S;T;89;59;S;Yes
Marketing;17;83;66;34;0;100;W;O;83;66;W;No
Marketing;34;66;21;79;0;100;W;T;66;79;T;No
Marketing;33;67;7;93;0;100;W;T;67;93;T;No
Marketing;89;11;1;99;0;100;S;T;89;99;T;No
Marketing;13;87;55;45;0;100;W;O;87;55;W;No
Marketing;84;16;89;11;0;100;S;O;84;89;O;Yes
Marketing;88;12;76;24;0;100;S;O;88;76;S;Yes
Marketing;36;64;30;70;0;100;W;T;64;70;T;No
Marketing;60;40;56;44;0;100;S;O;60;56;S;Yes
Marketing;37;63;10;90;0;100;W;T;63;90;T;No
Marketing;56;44;49;51;0;100;S;T;56;51;S;Yes
Marketing;44;56;72;28;0;100;W;O;56;72;O;Yes
Marketing;9;91;80;20;0;100;W;O;91;80;W;No
Marketing;23;77;83;17;0;100;W;O;77;83;O;Yes
Marketing;79;21;80;20;0;100;S;O;79;80;O;Yes
Marketing;53;47;69;31;0;100;S;O;53;69;O;Yes
Marketing;64;36;78;22;0;100;S;O;64;78;O;Yes
Investment;48;52;97;3;0;100;W;O;52;97;O;Yes
Investment;25;75;45;55;0;100;W;T;75;55;W;No
Investment;36;64;77;23;0;100;W;O;64;77;O;Yes
Investment;81;19;3;97;0;100;S;T;81;97;T;No
Investment;92;8;53;47;0;100;S;O;92;53;S;Yes
Investment;48;52;11;89;0;100;W;T;52;89;T;No
Investment;50;50;10;90;0;100;W;T;50;90;T;No
Investment;65;35;12;88;0;100;S;T;65;88;T;No
Investment;6;94;27;73;0;100;W;T;94;73;W;No
Investment;77;23;92;8;0;100;S;O;77;92;O;Yes
Investment;96;4;63;37;0;100;S;O;96;63;S;Yes
Investment;30;70;63;37;0;100;W;O;70;63;W;No
Investment;47;53;88;12;0;100;W;O;53;88;O;Yes
Investment;28;72;21;79;0;100;W;T;72;79;T;No
Investment;6;94;76;24;0;100;W;O;94;76;W;No
Investment;96;4;90;10;0;100;S;O;96;90;S;Yes
Investment;39;61;57;43;0;100;W;O;61;57;W;No
Investment;19;81;25;75;0;100;W;T;81;75;W;No
Investment;36;64;16;84;0;100;W;T;64;84;T;No
Investment;27;73;35;65;0;100;W;T;73;65;W;No
Budget;1;99;68;32;0;100;W;O;99;68;W;No
Budget;59;41;1;99;0;100;S;T;59;99;T;No
Budget;99;1;25;75;0;100;S;T;99;75;S;Yes
Budget;63;37;78;22;0;100;S;O;63;78;O;Yes
Budget;17;83;48;52;0;100;W;T;83;52;W;No
Budget;15;85;42;58;0;100;W;T;85;58;W;No
Budget;81;19;42;58;0;100;S;T;81;58;S;Yes
Budget;98;2;40;60;0;100;S;T;98;60;S;Yes
Budget;43;57;56;44;0;100;W;O;57;56;W;No
Budget;28;72;37;63;0;100;W;T;72;63;W;No
Budget;10;90;75;25;0;100;W;O;90;75;W;No
Budget;17;83;92;8;0;100;W;O;83;92;O;Yes
Budget;72;28;57;43;0;100;S;O;72;57;S;Yes
Budget;11;89;36;64;0;100;W;T;89;64;W;No
Budget;32;68;87;13;0;100;W;O;68;87;O;Yes
Budget;93;7;51;49;0;100;S;O;93;51;S;Yes
Budget;11;89;73;27;0;100;W;O;89;73;W;No
Budget;20;80;16;84;0;100;W;T;80;84;T;No
