Word;Tags;Strength;Weakness;Opportunity;Threat;Min;Max;Cat1;Cat2;Val1;Val2;Decision;Execution
Loss;Stocks;24;76;56;44;0;100;W;O;76;56;W;No
Loss;Franchise;25;75;73;27;0;100;W;O;75;73;W;No
Loss;Investment;79;21;89;11;0;100;S;O;79;89;O;Yes
Loss;Investment,Franchise;31;69;64;36;0;100;W;O;69;64;W;No
Loss;Investment,Stocks;55;45;26;74;0;100;S;T;55;74;T;No
Loss;Franchise;11;89;71;29;0;100;W;O;89;71;W;No
Loss;Investment,Franchise,Stocks;69;31;62;38;0;100;S;O;69;62;S;Yes
Loss;Investment,Franchise,Stocks;19;81;18;82;0;100;W;T;81;82;T;No
Loss;Investment;88;12;42;58;0;100;S;T;88;58;S;Yes
Loss;Investment,Franchise;66;34;11;89;0;100;S;T;66;89;T;No
Loss;Investment,Franchise;75;25;59;41;0;100;S;O;75;59;S;Yes
Loss;Investment,Stocks;47;53;38;62;0;100;W;T;53;62;T;No
Loss;Investment;95;5;30;70;0;100;S;T;95;70;S;Yes
Loss;Franchise,Stocks;4;96;10;90;0;100;W;T;96;90;W;No
Loss;Stocks;30;70;27;73;0;100;W;T;70;73;T;No
Loss;Franchise;21;79;11;89;0;100;W;T;79;89;T;No
Loss;Investment,Franchise,Stocks;62;38;95;5;0;100;S;O;62;95;O;Yes
Loss;Investment,Stocks;57;43;48;52;0;100;S;T;57;52;S;Yes
Loss;Franchise,Stocks;92;8;93;7;0;100;S;O;92;93;O;Yes
Loss;Franchise,Stocks;61;39;48;52;0;100;S;T;61;52;S;Yes
Marketing;Stocks;93;7;16;84;0;100;S;T;93;84;S;Yes
Marketing;Franchise;4;96;13;87;0;100;W;T;96;87;W;No
Marketing;Investment;29;71;99;1;0;100;W;O;71;99;O;Yes
Marketing;Investment,Franchise;53;47;98;2;0;100;S;O;53;98;O;Yes
Marketing;Investment,Stocks;93;7;43;57;0;100;S;T;93;57;S;Yes
Marketing;Franchise;27;73;56;44;0;100;W;O;73;56;W;No
Marketing;Investment,Franchise,Stocks;8;92;39;61;0;100;W;T;92;61;W;No
Marketing;Investment,Franchise,Stocks;1;99;38;62;0;100;W;T;99;62;W;No
Marketing;Investment;96;4;17;83;0;100;S;T;96;83;S;Yes
Marketing;Investment,Franchise;71;29;22;78;0;100;S;T;71;78;T;No
Marketing;Investment,Franchise;61;39;54;46;0;100;S;O;61;54;S;Yes
Marketing;Investment,Stocks;26;74;39;61;0;100;W;T;74;61;W;No
Marketing;Investment;39;61;95;5;0;100;W;O;61;95;O;Yes
Marketing;Franchise,Stocks;87;13;52;48;0;100;S;O;87;52;S;Yes
Marketing;Stocks;58;42;72;28;0;100;S;O;58;72;O;Yes
Marketing;Franchise;30;70;5;95;0;100;W;T;70;95;T;No
Marketing;Investment,Franchise,Stocks;18;82;93;7;0;100;W;O;82;93;O;Yes
Marketing;Investment,Stocks;72;28;86;14;0;100;S;O;72;86;O;Yes
Marketing;Franchise,Stocks;95;5;36;64;0;100;S;T;95;64;S;Yes
Marketing;Franchise,Stocks;5;95;89;11;0;100;W;O;95;89;W;No
Investment;Stocks;50;50;82;18;0;100;W;O;50;82;O;Yes
Investment;Franchise;88;12;2;98;0;100;S;T;88;98;T;No
Investment;Investment;97;3;55;45;0;100;S;O;97;55;S;Yes
Investment;Investment,Franchise;0;100;75;25;0;100;W;O;100;75;W;No
Investment;Investment,Stocks;97;3;18;82;0;100;S;T;97;82;S;Yes
Investment;Franchise;1;99;5;95;0;100;W;T;99;95;W;No
Investment;Investment,Franchise,Stocks;39;61;4;96;0;100;W;T;61;96;T;No
Investment;Investment,Franchise,Stocks;19;81;75;25;0;100;W;O;81;75;W;No
Investment;Investment;35;65;4;96;0;100;W;T;65;96;T;No
Investment;Investment,Franchise;48;52;70;30;0;100;W;O;52;70;O;Yes
Investment;Investment,Franchise;35;65;93;7;0;100;W;O;65;93;O;Yes
Investment;Investment,Stocks;55;45;33;67;0;100;S;T;55;67;T;No
Investment;Investment;12;88;47;53;0;100;W;T;88;53;W;No
Investment;Franchise,Stocks;100;0;60;40;0;100;S;O;100;60;S;Yes
Investment;Stocks;71;29;8;92;0;100;S;T;71;92;T;No
Investment;Franchise;72;28;3;97;0;100;S;T;72;97;T;No
Investment;Investment,Franchise,Stocks;66;34;23;77;0;100;S;T;66;77;T;No
Investment;Investment,Stocks;65;35;98;2;0;100;S;O;65;98;O;Yes
Investment;Franchise,Stocks;24;76;13;87;0;100;W;T;76;87;T;No
Investment;Franchise,Stocks;16;84;96;4;0;100;W;O;84;96;O;Yes
Budget;Stocks;23;77;10;90;0;100;W;T;77;90;T;No
Budget;Franchise;46;54;98;2;0;100;W;O;54;98;O;Yes
Budget;Investment;2;98;67;33;0;100;W;O;98;67;W;No
Budget;Investment,Franchise;25;75;55;45;0;100;W;O;75;55;W;No
Budget;Investment,Stocks;11;89;7;93;0;100;W;T;89;93;T;No
Budget;Franchise;49;51;19;81;0;100;W;T;51;81;T;No
Budget;Investment,Franchise,Stocks;36;64;92;8;0;100;W;O;64;92;O;Yes
Budget;Investment,Franchise,Stocks;65;35;8;92;0;100;S;T;65;92;T;No
Budget;Investment;9;91;60;40;0;100;W;O;91;60;W;No
Budget;Investment,Franchise;54;46;84;16;0;100;S;O;54;84;O;Yes
Budget;Investment,Franchise;12;88;16;84;0;100;W;T;88;84;W;No
Budget;Investment,Stocks;27;73;31;69;0;100;W;T;73;69;W;No
Budget;Investment;39;61;63;37;0;100;W;O;61;63;O;Yes
Budget;Franchise,Stocks;4;96;74;26;0;100;W;O;96;74;W;No
Budget;Stocks;55;45;88;12;0;100;S;O;55;88;O;Yes
Budget;Franchise;46;54;59;41;0;100;W;O;54;59;O;Yes
Budget;Investment,Franchise,Stocks;57;43;0;100;0;100;S;T;57;100;T;No
Budget;Investment,Stocks;93;7;2;98;0;100;S;T;93;98;T;No
Budget;Franchise,Stocks;27;73;98;2;0;100;W;O;73;98;O;Yes
Budget;Franchise,Stocks;48;52;87;13;0;100;W;O;52;87;O;Yes
Growth;Stocks;19;81;100;0;0;100;W;O;81;100;O;Yes
Growth;Franchise;68;32;24;76;0;100;S;T;68;76;T;No
Growth;Investment;54;46;92;8;0;100;S;O;54;92;O;Yes
Growth;Investment,Franchise;94;6;39;61;0;100;S;T;94;61;S;Yes
Growth;Investment,Stocks;56;44;55;45;0;100;S;O;56;55;S;Yes
Growth;Franchise;44;56;7;93;0;100;W;T;56;93;T;No
Growth;Investment,Franchise,Stocks;24;76;49;51;0;100;W;T;76;51;W;No
Growth;Investment,Franchise,Stocks;100;0;57;43;0;100;S;O;100;57;S;Yes
Growth;Investment;98;2;25;75;0;100;S;T;98;75;S;Yes
Growth;Investment,Franchise;32;68;23;77;0;100;W;T;68;77;T;No
Growth;Investment,Franchise;100;0;43;57;0;100;S;T;100;57;S;Yes
Growth;Investment,Stocks;37;63;51;49;0;100;W;O;63;51;W;No
Growth;Investment;9;91;22;78;0;100;W;T;91;78;W;No
Growth;Franchise,Stocks;42;58;90;10;0;100;W;O;58;90;O;Yes
Growth;Stocks;30;70;43;57;0;100;W;T;70;57;W;No
Growth;Franchise;17;83;58;42;0;100;W;O;83;58;W;No
Growth;Investment,Franchise,Stocks;7;93;73;27;0;100;W;O;93;73;W;No
Growth;Investment,Stocks;26;74;8;92;0;100;W;T;74;92;T;No
Growth;Franchise,Stocks;10;90;1;99;0;100;W;T;90;99;T;No
Growth;Franchise,Stocks;81;19;66;34;0;100;S;O;81;66;S;Yes
Risk;Stocks;80;20;60;40;0;100;S;O;80;60;S;Yes
Risk;Franchise;45;55;94;6;0;100;W;O;55;94;O;Yes
Risk;Investment;54;46;97;3;0;100;S;O;54;97;O;Yes
Risk;Investment,Franchise;36;64;42;58;0;100;W;T;64;58;W;No
Risk;Investment,Stocks;22;78;43;57;0;100;W;T;78;57;W;No
Risk;Franchise;47;53;13;87;0;100;W;T;53;87;T;No
Risk;Investment,Franchise,Stocks;43;57;37;63;0;100;W;T;57;63;T;No
Risk;Investment,Franchise,Stocks;88;12;19;81;0;100;S;T;88;81;S;Yes
Risk;Investment;82;18;31;69;0;100;S;T;82;69;S;Yes
Risk;Investment,Franchise;23;77;74;26;0;100;W;O;77;74;W;No
Risk;Investment,Franchise;18;82;71;29;0;100;W;O;82;71;W;No
Risk;Investment,Stocks;34;66;34;66;0;100;W;T;66;66;T;No
Risk;Investment;78;22;67;33;0;100;S;O;78;67;S;Yes
Risk;Franchise,Stocks;34;66;12;88;0;100;W;T;66;88;T;No
Risk;Stocks;90;10;70;30;0;100;S;O;90;70;S;Yes
Risk;Franchise;36;64;81;19;0;100;W;O;64;81;O;Yes
Risk;Investment,Franchise,Stocks;92;8;5;95;0;100;S;T;92;95;T;No
Risk;Investment,Stocks;94;6;53;47;0;100;S;O;94;53;S;Yes
Risk;Franchise,Stocks;51;49;66;34;0;100;S;O;51;66;O;Yes
Risk;Franchise,Stocks;5;95;92;8;0;100;W;O;95;92;W;No
Advantage;Stocks;95;5;69;31;0;100;S;O;95;69;S;Yes
Advantage;Franchise;92;8;26;74;0;100;S;T;92;74;S;Yes
Advantage;Investment;100;0;30;70;0;100;S;T;100;70;S;Yes
Advantage;Investment,Franchise;82;18;22;78;0;100;S;T;82;78;S;Yes
Advantage;Investment,Stocks;80;20;44;56;0;100;S;T;80;56;S;Yes
Advantage;Franchise;52;48;92;8;0;100;S;O;52;92;O;Yes
Advantage;Investment,Franchise,Stocks;89;11;76;24;0;100;S;O;89;76;S;Yes
Advantage;Investment,Franchise,Stocks;29;71;19;81;0;100;W;T;71;81;T;No
Advantage;Investment;79;21;17;83;0;100;S;T;79;83;T;No
Advantage;Investment,Franchise;97;3;22;78;0;100;S;T;97;78;S;Yes
Advantage;Investment,Franchise;52;48;31;69;0;100;S;T;52;69;T;No
Advantage;Investment,Stocks;66;34;10;90;0;100;S;T;66;90;T;No
Advantage;Investment;0;100;71;29;0;100;W;O;100;71;W;No
Advantage;Franchise,Stocks;56;44;14;86;0;100;S;T;56;86;T;No
Advantage;Stocks;60;40;29;71;0;100;S;T;60;71;T;No
